squeezing_db,pZ_proxy,loss_base,pE_data,pE_anc,distance,trials,success_prob_within_cap,erasure_rate,avg_rounds_given_success,avg_fidelity_injected_given_success,avg_fidelity_logical_given_success,p_phys_eff
13.5,0.0005322428345956954,0.005,0.005015967285037871,0.007523950927556806,7.0,5000.0,0.9874,0.0126,1.1792586591047194,0.7950032541852269,0.7949765770757936,0.0011596728503787087
14.0,0.00044679498425546064,0.005,0.005013403849527663,0.007520105774291495,1.0,5000.0,0.9844,0.0156,1.1897602600568875,0.7949761095768483,0.778250396404494,0.0011340384952766383
14.0,0.00044679498425546064,0.005,0.005013403849527663,0.007520105774291495,3.0,5000.0,0.986,0.014,1.194523326572008,0.7949761095768483,0.7930793493170079,0.0011340384952766383
14.0,0.00044679498425546064,0.005,0.005013403849527663,0.007520105774291495,5.0,5000.0,0.9848,0.0152,1.1811535337124288,0.7949761095768483,0.7947610096617516,0.0011340384952766383
14.0,0.00044679498425546064,0.005,0.005013403849527663,0.007520105774291495,7.0,5000.0,0.9862,0.0138,1.1890083147434598,0.7949761095768483,0.7949517164184435,0.0011340384952766383
14.5,0.000375065186377714,0.005,0.005011251955591331,0.007516877933386997,1.0,5000.0,0.989,0.011,1.1830131445904954,0.794953319259694,0.7785462524717965,0.0011125195559133143
14.5,0.000375065186377714,0.005,0.005011251955591331,0.007516877933386997,3.0,5000.0,0.9864,0.0136,1.1812652068126521,0.7949533192596939,0.7931280009940228,0.0011125195559133143
14.5,0.000375065186377714,0.005,0.005011251955591331,0.007516877933386997,5.0,5000.0,0.9844,0.0156,1.1852905323039415,0.7949533192596939,0.7947502490330616,0.0011125195559133143
14.5,0.000375065186377714,0.005,0.005011251955591331,0.007516877933386997,7.0,5000.0,0.9872,0.0128,1.1782820097244733,0.7949533192596939,0.7949307272998586,0.0011125195559133143
15.0,0.00031485110395088306,0.005,0.005009445533118526,0.0075141682996777885,1.0,5000.0,0.9866,0.0134,1.1818366105817961,0.7949341852415936,0.7787945706722715,0.001094455331185265
15.0,0.00031485110395088306,0.005,0.005009445533118526,0.0075141682996777885,3.0,5000.0,0.9856,0.0144,1.1730925324675325,0.7949341852415938,0.7931677765207263,0.001094455331185265
15.0,0.00031485110395088306,0.005,0.005009445533118526,0.0075141682996777885,5.0,5000.0,0.9886,0.0114,1.184301031762088,0.7949341852415938,0.7947408596974332,0.001094455331185265
15.0,0.00031485110395088306,0.005,0.005009445533118526,0.0075141682996777885,7.0,5000.0,0.987,0.013,1.2004052684903748,0.7949341852415938,0.7949130266243475,0.001094455331185265
15.5,0.0002643039697085044,0.005,0.0050079291190912555,0.007511893678636883,1.0,5000.0,0.9856,0.0144,1.1775568181818181,0.7949181212754687,0.7790029947588141,0.0010792911909125514
15.5,0.0002643039697085044,0.005,0.0050079291190912555,0.007511893678636883,3.0,5000.0,0.9816,0.0184,1.180317848410758,0.7949181212754688,0.7932004156903004,0.0010792911909125514
15.5,0.0002643039697085044,0.005,0.0050079291190912555,0.007511893678636883,5.0,5000.0,0.9856,0.0144,1.1657873376623376,0.7949181212754687,0.794732730824803,0.0010792911909125514
15.5,0.0002643039697085044,0.005,0.0050079291190912555,0.007511893678636883,7.0,5000.0,0.9844,0.0156,1.188541243396993,0.7949181212754687,0.7948981122474404,0.0010792911909125514
16.0,0.0002218718229889759,0.005,0.005006656154689669,0.0075099842320345035,1.0,5000.0,0.9818,0.0182,1.188633122835608,0.7949046350117699,0.779177937826512,0.0010665615468966928
16.0,0.0002218718229889759,0.005,0.005006656154689669,0.0075099842320345035,3.0,5000.0,0.9872,0.0128,1.1867909238249594,0.7949046350117699,0.7932272859640214,0.0010665615468966928
16.0,0.0002218718229889759,0.005,0.005006656154689669,0.0075099842320345035,5.0,5000.0,0.9854,0.0146,1.1794195250659631,0.79490463501177,0.7947257354122649,0.0010665615468966928
16.0,0.0002218718229889759,0.005,0.005006656154689669,0.0075099842320345035,7.0,5000.0,0.9854,0.0146,1.170692104729044,0.79490463501177,0.7948855542684112,0.0010665615468966928
8.0,0.003648603757513078,0.01,0.010218916225450785,0.015328374338176177,1.0,5000.0,0.9702,0.0298,1.183673469387755,0.7959900699140503,0.764991309199223,0.0020945811272539234
8.0,0.003648603757513078,0.01,0.010218916225450785,0.015328374338176177,3.0,5000.0,0.9728,0.0272,1.1844161184210527,0.7959900699140503,0.7894971279978964,0.0020945811272539234
8.0,0.003648603757513078,0.01,0.010218916225450785,0.015328374338176177,5.0,5000.0,0.97,0.03,1.1779381443298969,0.7959900699140502,0.7946300705542572,0.0020945811272539234
8.0,0.003648603757513078,0.01,0.010218916225450785,0.015328374338176177,7.0,5000.0,0.9684,0.0316,1.1869062370921106,0.7959900699140503,0.7957052070148399,0.0020945811272539234
8.5,0.003062846040249265,0.01,0.010183770762414958,0.015275656143622434,1.0,5000.0,0.9672,0.0328,1.1879652605459057,0.7958050573225786,0.7674247242288572,0.0019188538120747795
8.5,0.003062846040249265,0.01,0.010183770762414958,0.015275656143622434,3.0,5000.0,0.9718,0.0282,1.1913974068738424,0.7958050573225784,0.7903592862880945,0.0019188538120747795
8.5,0.003062846040249265,0.01,0.010183770762414958,0.015275656143622434,5.0,5000.0,0.9714,0.0286,1.1865348980852377,0.7958050573225784,0.7947600934716581,0.0019188538120747795
8.5,0.003062846040249265,0.01,0.010183770762414958,0.015275656143622434,7.0,5000.0,0.97,0.03,1.1723711340206187,0.7958050573225784,0.7956045440356966,0.0019188538120747795
9.0,0.002571127612022411,0.01,0.010154267656721346,0.015231401485082017,1.0,5000.0,0.9698,0.0302,1.1884924726747783,0.7956495787300862,0.7694648078632464,0.0017713382836067233
9.0,0.002571127612022411,0.01,0.010154267656721346,0.015231401485082017,3.0,5000.0,0.969,0.031,1.1803921568627451,0.7956495787300861,0.791011370021696,0.0017713382836067233
9.0,0.002571127612022411,0.01,0.010154267656721346,0.015231401485082017,5.0,5000.0,0.9644,0.0356,1.1957693902944837,0.7956495787300861,0.7948279950648336,0.0017713382836067233
9.0,0.002571127612022411,0.01,0.010154267656721346,0.015231401485082017,7.0,5000.0,0.97,0.03,1.1830927835051546,0.7956495787300861,0.7955040484701414,0.0017713382836067233
9.5,0.00215835112520578,0.01,0.010129501067512347,0.01519425160126852,1.0,5000.0,0.9696,0.0304,1.1802805280528053,0.7955189424126646,0.7711754906638913,0.0016475053375617338
9.5,0.00215835112520578,0.01,0.010129501067512347,0.01519425160126852,3.0,5000.0,0.9752,0.0248,1.1767842493847416,0.7955189424126646,0.7915083457435866,0.0016475053375617338
9.5,0.00215835112520578,0.01,0.010129501067512347,0.01519425160126852,5.0,5000.0,0.971,0.029,1.1732234809474769,0.7955189424126646,0.7948581944707531,0.0016475053375617338
9.5,0.00215835112520578,0.01,0.010129501067512347,0.01519425160126852,7.0,5000.0,0.965,0.035,1.1809326424870465,0.7955189424126646,0.7954100838365562,0.0016475053375617338
